ID,Section,Question,Option 1,Option 2,Option 3,Option 4,Ans(1-4),Translation,Explanation,Interval,Ease,Next_Review
385,146,Mr. Jones ( ) the students repeat the same phrase without looking at their textbooks.,got,forced,ordered,made,4,ジョーンズ先生は生徒たちに、教科書を見ずに同じフレーズを繰り返させた。,"●make A do 「Aに(無理やり)･･･させる」 make A doは「Aに(無理やり)･･･させる」という意味。Aとdoには「Aが･･･する」という能動の関係がある。▶問題文で原形不定詞 repeat を用いていることに注目して、使役動詞④ made を選ぶ。made the students repeat... は「生徒たちに･･･を繰り返させる」の意味で、「生徒たちが･･･を繰り返す」という能動の関係が成立する。選択肢 ①の get、②の force、③の orderは、それぞれ get A to do 「Aに･･･させる」、force A to do 「Aに(無理やり)･･･させる」、order A to do 「Aに･･･するように命じる」という形で用いる。 [cite: 2260, 2262, 2327, 2291-2297]",0,2.5,
386,146,"Because my mother was sick in bed, she had me ( ) the dishes after dinner.",wash,washed,have washed,to wash,1,母は病気で寝ていたので、夕食後の皿洗いを私にやらせた。,"●have A do 「Aに･･･させる/Aに･･･してもらう」 have A do は「Aに･･･させる/Aに･･･してもらう」という意味。Aとdoには「Aが･･･する」という能動の関係がある。▶meと選択肢のwash 「･･･を洗う」との関係を「私が皿を洗う」という能動の関係と考えて① wash を選ぶと、have A do の表現になり「私に皿を洗わせる」という意味になる。 [cite: 2266, 2269, 2270, 2328, 2308, 2311]",0,2.5,
387,146,We are going to have the house ( ) this weekend.,to be painted,to paint,painted,painting,3,私たちは今週末に家を塗装してもらうことになっている。,"●have A done 「Aを･･･してもらう」(使役) have A done には、①「〈使役〉Aを･･･してもらう」、②「〈被害〉Aを･･･される」、③「〈完了〉Aを･･･してしまう」の3つの意味がある。すべてAとdoneには「Aが･･･される」という受動の関係がある。▶the house と paint 「･･･を塗装する」との関係を「家が塗装される」という受動の関係と考えて③ painted を選ぶと、have A done の表現で「家を塗装してもらう」という使役の意味になる。 [cite: 2272-2275, 2329, 2312, 2313]",0,2.5,
388,146,The bus was so crowded that I ( ) while I was in it.,had my foot stepped on,had my foot to be stepped on,had to be stepped on my foot,was stepped on my foot,1,バスはとても混んでいたので、乗っている間に足を踏まれた。,"●have A done 「Aを･･･される」(被害) my foot と step on A 「Aを踏む」との関係を「足が踏まれる」という受動の関係だと考えて① had my foot stepped on を選ぶと、have A done の表現で、「足を踏まれた」という被害の意味になる。 [cite: 2276-2280, 2330, 2314, 2315]",0,2.5,
389,147,I don't know how I can get my children ( ) their homework.,did,do,done,to do,4,どうすれば子どもたちに宿題をさせることができるのか私にはわからない。,"●get A to do 「Aに･･･させる/Aに･･･してもらう」 get A to do は have A doとほぼ同じ意味で「Aに･･･させる/Aに･･･してもらう」という意味。Aとto doには「Aが･･･する」という能動の関係がある。▶④ to do を選ぶと、get A to do 「Aに･･･させる」という使役の表現になり、「子どもたちが宿題をする」という能動の関係が成立する。 [cite: 2284, 2285, 2331, 2319, 2334, 2336]",0,2.5,
390,147,Could you give me a ride to the station tomorrow morning? I must get my car ( ) at the garage.,repair,repairing,repaired,to repair,3,明日の朝駅まで車に乗せてもらえませんか。私の車を修理工場で修理してもらわないといけないので。,"●get A done 「Aを･･･してもらう」(使役) get A done は have A done と同様に、①「〈使役〉Aを･･･してもらう」、②「〈被害〉Aを･･･される」、③「〈完了〉Aを･･･してしまう」の3つの意味がある。Aとdoneには「Aが･･･される」という受動の関係がある。▶my car と repair の関係を「車が修理される」という受動の関係と考えて③ repaired を選ぶと、get A done の表現で「車を修理してもらう」という使役の意味になる。 [cite: 2516-2525, 2563, 2521, 2539]",0,2.5,
391,147,"A lazy student stood in front of his stern teacher and said, ""I'm sorry. I could not get the homework ( ) by the deadline.""",doing,be done,done,to do,3,ある怠惰な生徒が、厳格な教師の前に立ち「すみません。期限までに宿題をやることができませんでした」と言った。,"●get A done 「Aを･･･してしまう」(完了) ▶③ doneを選ぶと、get A done の表現で、「宿題をしてしまう」という完了の意味になり、「宿題がされる」という受動の関係が成立する。 [cite: 2527-2533, 2564, 2540]",0,2.5,
392,148,"When I fell, I felt something ( ) wrong with my foot.",goes,has gone,go,will go,3,転んだときに、足がどこかおかしくなるのを感じた。,"●feel A do 「Aが･･･するのを感じる」 feel A do は 「Aが･･･するのを感じる」という意味。Aとdoには「Aが･･･する」という能動の関係がある。▶本間で原形不定詞 doに当たるのは③goだけ。 [cite: 2536, 2537, 2553, 2555, 2567, 2550-2552]",0,2.5,
393,149,The doctor ( ) me to go home to bed.,suggested,said,agreed,advised,4,その医者は、家に帰って寝ているようにと私に忠告した。,"●SVO to do の形をとる動詞 advise A to do 「Aに･･･するように忠告する」 ▶〈SVO to do〉の形がとれるのは④ adviseだけ。 [cite: 2558-2560, 2568, 2573, 2574]",0,2.5,
394,149,He ( ) me to take a day off.,admitted,allowed,forgave,let,2,彼は私に休暇を取ることを許可してくれた。,"●allow[permit] A to do 「Aが･･･することを許す」 〈SVO to do〉の形がとれるのは②のallow だけ。letは let A do の形をとる。 [cite: 2604, 2668, 2609, 2610]",0,2.5,
395,149,What on earth ( ) you to change your mind so suddenly?,made,let,had,caused,4,いったいなぜそんなに突然あなたは気が変わったんだ。,"●cause A to do 「Aが･･･する原因となる」 S cause O to do 「SはOが･･･する原因となる」は、「Sが原因で(その結果) Oは･･･する」「SがOに･･･させる」という因果関係を表す。S make O do と同意。▶本問は「何があなたが気持ちを変える原因となったか」→「なぜあなたは気が変わったのか」という文意。What on earth made you change your mind so suddenly?と同意。 [cite: 2615-2622, 2669, 2627]",0,2.5,
396,149,Illness ( ) him to resign.,compelled,forwarded,made,was prevented,1,彼は病気で退職せざるを得なかった。,"●compel [force/oblige] A to do 「Aに(無理やり)･･･させる」 S compel [force/oblige] O to do 「SはOに(無理やり)･･･させる」は、「Sが原因で(その結果) Oは･･･せざるを得なくなる」という状況で用いる。▶本間は「病気が彼を退職させた→病気が原因で彼は退職せざるを得なくなった」という意味。 [cite: 2623, 2631-2634, 2670, 2628, 2629]",0,2.5,
397,149,The bus was late again! I had ( ) it to arrive at 6 o'clock.,waited,hoped,expected,liked,3,またバスが遅れた！ 6時に到着すると思っていたのだが。,"●expect A to do 「Aに･･･することを期待する」 ▶問題文のit (= the bus) と to arrive に注目して、〈SVO to do〉の形がとれるのは③の expect だけ。 [cite: 2665, 2666, 2671, 2676]",0,2.5,
398,149,We all tried to ( ) her to dance.,argue,persuade,claim,make,2,私たちはみな、彼女を説得して踊らせようとした。,"●persuade A to do 「A (人)を説得して･･･させる」 [cite: 2684, 2686, 2743, 2688]",0,2.5,
399,149,"In many countries, drivers are ( ) to wear seatbelts at all times.",required,fined,exposed,compared,1,多くの国々では、運転手は常にシートベルトの着用を義務付けられている。,"●require A to do「(法律や規則などが)A(人)に･･･するように要求する」 本問は受動態 be required to do。 [cite: 2689, 2692, 2695, 2744, 2709]",0,2.5,
400,149,Her parents don't want ( ) married.,that she gets,her get,her to get,that she got,3,彼女の両親は彼女に結婚してほしいとは思っていない。,"●want [would like] A to do 「Aに･･してほしい(と思う)」 ▶③ her to get を入れると want A to doの形になる。 選択肢 want には後ろにthat節を伴った(×) want that SV... という使い方はできないので、①、④は不可。 [cite: 2699, 2701-2707, 2745, 2731, 2733, 2734]",0,2.5,
401,150,I suggested ( ) more careful.,her to be,that she were,for her be,that she be,4,私は彼女に、もっと注意したらどうかと提案した。,"●suggest [propose] that S (should) do 「･･･することを提案する」 ▶主節が過去時制のsuggested でも that 節内は原形のbeを用いていることに注意。選択肢 suggest は(x) suggest A to do の形はとらないので、①は不可。 [cite: 2712-2719, 2746, 2738, 2753, 2756]",0,2.5,
402,150,The teacher ordered that every student ( ) a study plan for the summer vacation.,had made,has made,make,to make,3,先生はどの生徒も夏休みの学習計画をたてるように命じた。,"●order that S (should) do 「･･･することを命令する」 that節内では動詞の原形やshouldを用いる。 [cite: 2723-2726, 2730, 2747, 2757]",0,2.5,
403,150,"Why did Jack quit his job? ""He wanted to ( ) his dream of opening his own café.""",come true,increase,realize,make sure,3,「どうしてジャックは仕事をやめたのですか」「自分のカフェを開くという夢を実現したかったからです」,"●realize A 「A(夢・希望・目的など)を実現する」 「･･･が実現する」は come true を、「Aを実現する」 は realize Aを用いる。 [cite: 2764, 2767-2771, 2834, 2835, 2769, 2776]",0,2.5,
404,158,"Why have you decided to live in the country? ""Because of the air pollution. I really ( ) clean, fresh air.""",keep,avoid,make,miss,4,「どうしていなかに住むことにしたのですか」「大気汚染のせいですよ。きれいで新鮮な空気が本当に恋しいんです」,"●miss A 「Aが(い)ないのを寂しく思う/Aを懐かしく思う」 [cite: 2773, 2778, 2780, 2836, 2777]",0,2.5,
405,158,Mary ( ) many different kinds of flowers in her garden.,raises,rises,is rising,rose,1,メアリーは自分の庭でたくさんの異なる種類の花を育てている。,"●raise A 「Aを上げる/Aを育てる」 ▶目的語 many different kinds of flowers があるので、他動詞の① raises が正解。 [cite: 2785, 2795, 2837, 2806, 2811]",0,2.5,
406,158,"This time tomorrow, she will ( ) on the beach.",be laying,lay,be lying,lie,3,明日の今ごろは、彼女はビーチに寝そべっているだろう。,"●lie 「横になる」 ▶目的語に当たる語がないので、自動詞 lieの未来進行形 を作る ③ be lying が正解。 [cite: 2802, 2807, 2808, 2839, 2824, 2825]",0,2.5,
407,152,The baby ( ) her mother.,looks,looks after,resembles to,resembles,4,その赤ちゃんは母親に似ている。,"●resemble A 「Aに似ている」 resemble は他動詞。( ) resemble to Aという誤りに注意。 [cite: 2847-2849, 2844, 2845, 2917, 2875, 2873]",0,2.5,
408,152,We ( ) the matter far into the night.,discussed,discussed about,discussed on,discussed over,1,私たちは夜遅くまでその件について話し合った。,"●discuss A 「Aについて話し合う」 discuss は他動詞。( ) discuss about Aという誤りに注意。 [cite: 2852-2857, 2919, 2879, 2880]",0,2.5,
409,153,She hopes to work for a travel agency after she ( ) college.,graduates from,graduated from,has graduated,graduates,1,大学卒業後、彼女は旅行代理店で働くことを希望している。,"●graduate from A 「Aを卒業する」 ▸after she graduates from college は時を表す副詞節。時を表す副詞節は未来の内容でも現在時制を用いるので、現在形① graduates from が正解。 [cite: 2865, 2902-2905, 2923, 2896, 2898]",0,2.5,
410,153,"When I realized I was wrong, I apologized ( ).",him my mistake,to him my mistake,him for my mistake,to him for my mistake,4,私は自分が間違っていることに気づいて、彼に自分の間違いを謝罪した。,"●apologize to A for B 「BのことでAに謝罪する」 [cite: 2907-2910, 2925, 2899]",0,2.5,
411,151,I recommended that he ( ) on time to the interview.,come,comes,will come,would come,1,私は、面接には時間通りに来るよう、彼に勧めた。,"●recommend that S (should) do 「･･･することを勧める」 [cite: 2935, 2939, 2990, 2938, 2946]",0,2.5,
412,151,"After the car hit the boy, he ( ) unconscious for two days.",remained,remembered,removed,rescued,1,その少年は車にひかれてから2日間意識不明のままだった。,"●remain C 「Cのままである」 「remain C「Cのままである」の補語Cには、形容詞・名詞・分詞などが来る。▶本間では形容詞 unconscious を補語として用いている。 [cite: 2942, 2952-2955, 2991, 2981, 2982]",0,2.5,
413,151,Her dreams have ( ) true.,turned,come,gotten,gone,2,彼女の夢は実現した。,"●come true「(夢などが) 実現する/本当になる」 ●プラス come true は「夢」を主語にして「夢が実現する」という意味を作るが、「夢を実現する」は realize a dream と表現する。 [cite: 2984-2987, 2991, 2997, 2998]",0,2.5,
414,154,The new software program will ( ) us a lot of time and labor.,give,get,save,make,3,新しいソフトウェアプログラムを使えば、私たちは多くの時間と労力を省けるだろう。,"●save A B 「AからB(労力・時間・お金)を省く」 SVOOの形をとる動詞。 [cite: 3011, 3013, 3036, 3046]",0,2.5,
415,155,A change of air will ( ) her good.,effect,give,allow,do,4,気分転換が彼女のためには良いでしょう。,"●do A good 「Aのためになる」 (= do good to A) do が SVOOの形をとると、慣用的な表現で用いる場合が多い。 [cite: 3069, 3070, 3138, 3091, 3090]",0,2.5,
416,155,Drinking and smoking will ( ) you great harm.,have,be,do,help,3,飲酒と喫煙は体に大きな害をもたらす。,"●do A harm 「Aの害になる」 (= do harm to A) [cite: 3071, 3073, 3139, 3092]",0,2.5,
417,155,Could you ( ) me a favor and take out the garbage?,call,carry,do,take,3,お願いがあるのですが、ゴミを出してもらえますでしょうか。,"●do A a favor 「Aのお願いを聞き入れる」 Could / Would you do me a favor? は「お願いを聞いていただけますでしょうか」という形で頻出する。 [cite: 3075, 3140, 3093, 3094]",0,2.5,
418,156,The latest computers with new software are ( ) well now.,selling,sold,to be sold,to sell,1,新しいソフトウェアを搭載した最新のコンピューターは、現在よく売れている。,"●sell 「売れる」 自動詞の sell は well / badly を伴い「売れ行きが良い/悪い」という意味になる。 [cite: 3113-3115, 3097, 3098]",0,2.5,
419,156,Some day you will realize that honesty ( ).,buys,pays,gives,sells,2,正直は割に合うということに、いつかあなたも気づくでしょう。,"●pay 「割に合う/利益を生む」 意外な意味を持つ自動詞。 [cite: 3117, 3145, 3099, 3108]",0,2.5,
420,156,Any dictionary ( ) as long as it is an English dictionary.,will do,should go,may use,can run,1,英語の辞書でありさえすれば、どんな辞書でもかまいません。,"●do 「間に合う/役立つ/充分である」 自動詞 do は will [would] do の形で「間に合う/役立つ/充分である」という意味を表す。 [cite: 3119, 3120, 3146, 3100]",0,2.5,
421,156,"There was a notice board. It ( ): ""Keep off the grass.""",looked,read,saw,wrote,2,掲示板があり、そこには「芝生立ち入り禁止」と書いてあった。,"●read 「(本・掲示などが)･･･と読める/･･･と書いてある」 ●プラス sayにも「(本・掲示などに)･･･と書いてある」という意味がある。 [cite: 3122, 3123, 3147, 3101, 3102]",0,2.5,
422,157,I can't ( ) this noise any longer.,draw,loose,note,stand,4,これ以上この音には耐えられない。,"●stand A 「Aをがまんする/Aに耐える」 他動詞の stand は「･･･をがまんする」という意味。否定文のcannot stand A[doing] 「A [･･･すること]をがまんできない」という形で用いるのが原則。 [cite: 3126, 3127, 3148, 3154]",0,2.5,
423,157,"If you have a bad headache, go and ( ) the doctor.",take a look at,examined by,see,meet,3,頭痛がひどいなら、医者に行って診てもらいなさい。,"●see A「A(医者など)に診てもらう」 see a doctor は「医者に診てもらう」という意味。consult a doctor という言い方もある。 [cite: 3128-3131, 3149, 3155, 3156]",0,2.5,
424,157,This hill ( ) a fine view of the Kanto Plains.,sees,looks,appears,commands,4,この丘からは、関東平野の見晴らしがよい。,"●command a view of A 「(場所が) A(景色)を見渡す」 The observatory commands a fine view of the night sky. [cite: 3134-3136, 3132, 3157, 3159]",0,2.5,
425,158,He ( ) himself on the sofa and quickly fell asleep.,lied,lay,lain,laid,4,彼はソファに身を横たえ、すぐに眠りに落ちた。,"●lay A 「Aを横たえる」 fell (fallの過去形)に注目すれば過去の出来事だとわかる。再帰代名詞 himself が目的語になるので、他動詞lay の過去形 laid を選ぶ。 [cite: 3164-3166, 3219, 3178, 3179]",0,2.5,
426,159,Jennifer ( ) her own work experience in India.,spoke for,talked about,said,told,2,ジェニファーはインドでの彼女の実務経験について語った。,"●talk [speak] about A 「Aについて話す」 ある話題Aについて話す場合は talk [speak] about A を用いる。 [cite: 3169-3171, 3220, 3186, 3187]",0,2.5,
427,159,"You're always free to ( ) ""No!""",hear,say,speak,tell,2,あなたはいつでも自由に「いいえ」と言えるのですよ。,"●say (to A), ""..."" 「(Aに)「･･･」と言う」 say だけは発言内容を目的語にとることができる。 [cite: 3172-3174, 3221, 3189, 3190]",0,2.5,
428,159,I cannot ( ) you how lucky I was to have a chance to see that painting.,tell,talk,speak,say,1,あの絵を見る機会に恵まれた私がどれだけ運がよかったか、あなたに伝えることができません。,"●tell A B「A (人)にB (情報)を伝える/教える」 tell だけは後ろに目的語AとBを2つ続けて、「A(人)にB(情報)を伝える/教える」という形を作ることができる。本問はBにhow で始まる名詞節 how lucky... が来ている。 [cite: 3198-3200, 3222, 3191, 3192]",0,2.5,
429,159,"I heard somebody ( ) Lydia about the news, and I noticed that it upset her.",talked,tell,say,saying,2,私はだれかがリディアにそのニュースについて話すのを聞き、そのことで彼女が動揺したのに気がついた。,"●tell A about B 「A (人)にB (話題)について話す」 相手に対して何かの話題に関して話す(=情報を与える)という状況では tell A about Bという形を用いる。本間は hear A do 「Aが･･･するのを聞く」の形を用いており、tell は原形不定詞。 [cite: 3202-3205, 3223, 3193-3195]",0,2.5,
430,159,The nurse ( ) enter the room because the patient was in a critical condition.,said us not to,talked us not to,told to us not to,told us not to,4,患者が危篤状態なので、部屋には入らないようにと看護師は私たちに言った。,"●tell A to do 「A (人)に･･･するように言う」 後ろに目的語と to do を続けることができるのはtell だけ。tell A not to do は「A(人)に･･･しないように言う」という意味。notの位置に注意。 [cite: 3206-3211, 3224, 3230, 3231, 3232]",0,2.5,
431,159,The newspaper ( ) it was going to rain.,said,spoke,talked,told,1,新聞には、雨になると書いてあった。,"●say (that) SV 「･･･と言う/･･･と書いてある」 直後に目的語として that 節をとれるのは sayだけ。本問のように「(本・掲示などに)･･･と書いてある/(ラジオ・天気予報が)･･･と言う」という意味になることもある。 [cite: 3213-3217, 3225, 3233, 3234]",0,2.5,
432,159,Alex has ( ) him to travel alone for six months around the Northern Hemisphere.,persuaded his parents of allowing,persuaded to his parents into accept,talked his parents into allowing,talked to his parents into allow,3,アレックスは両親を説得して、北半球を6か月間一人で旅行することを許可してもらった。,"●talk A into doing 「A (人)を説得して･･･させる」 talk を他動詞として用いた表現。この場合のtalkは persuade と同意。 [cite: 3239-3244, 3253, 3257, 3258]",0,2.5,
433,159,I try to ( ) politely to my teachers.,hear,say,speak,tell,3,私は先生たちには礼儀正しく話すよう努めている。,"●speak to A 「A (人)に話す」 ▶副詞 politely に続けて前置詞句 to my teachers が来ているので、自動詞 speak が正解。 選択肢 目的語がないので他動詞① hear, ② say, ④ tell はすべて不可。 [cite: 3249-3251, 3254, 3262-3265]",0,2.5,
434,162,Urgent business stopped Tom ( ) the big party for his parents' fiftieth wedding anniversary.,attend,to attend,from attending,to have attend,3,急な用事で、トムは両親の50回目の結婚記念日を祝う盛大なパーティーに出席できなかった。,"●stop A from doing 「Aが･･･するのを止める/妨げる」 S stop A from doing 「SはAが･･･するのを妨げる」は、「Sが原因で(その結果) Aは･･･することができなくなる」という状況で用いる。 [cite: 3301-3306, 3337, 3350, 3351]",0,2.5,
435,162,Tom is prohibited by his father ( ) cards.,play,from playing,playing,from play,2,トムはトランプ遊びを父親に禁じられている。,"●prohibit A from doing 「Aが･･･するのを禁止する」 本問は prohibit A from doing の受動態 A is prohibited from doing 「Aは･･･することを禁止されている」を用いている。 [cite: 3316-3318, 3339, 3355]",0,2.5,
436,162,"My parents are trying to ( ) me from moving to London, but I'm planning to go anyway.",discourage,recall,observe,relieve,1,両親は私にロンドンへ引っ越すのを思いとどまらせようとしているが、私はそれでもやはり行くつもりでいる。,"●discourage A from doing 「Aに･･･するのをやめさせる/思いとどまらせる」 [cite: 3320-3323, 3340, 3341, 3356]",0,2.5,
437,163,"On your arrival at the front desk, you will be ( ) your room key and meal tickets.",provided,provided by,provided with,provided for,3,受付に来られましたら、お部屋のかぎとお食事券をお渡しします。,"●provide A with B 「AにBを供給する/与える」 本間は受動態の A is provided with B「AはBを供給される/与えられる」を用いている。 [cite: 3326-3331, 3342, 3368, 3369]",0,2.5,
438,161,"If you violate a traffic law, the police may deprive you ( ) your driver's licence.",from,by,of,at,3,交通法規に違反すると、警察は運転免許証を取り上げる場合もある。,"●deprive A of B 「AからB(地位・権利・能力など)を奪う」 このofは、「分離・剥奪」の意味で、of Bは「Bを取り除く」となる。AとBを逆にしないように注意すること。 [cite: 3427-3428, 3449, 3456, 3457]",0,2.5,
439,161,They robbed ( ) on his way home from the office.,him from his money,him of his money,his money of him,this money,2,強盗らは、職場からの帰宅途中の彼から現金を奪った。,"●rob A of B 「AからB(お金・物品)を奪う」 [cite: 3430-3433, 3449, 3454]",0,2.5,
440,161,Due to a bomb threat they cleared the stadium ( ) spectators.,from,of,off,on,2,爆弾が爆発する恐れがあったため、彼らは競技場から観客を避難させた。,"●clear A of B 「A(場所)からBを取り除く」 [cite: 3438-3441, 3450, 3455]",0,2.5,
441,164,The actress blamed ( ) her poor acting in the movie.,herself by,by herself,herself for,for herself,3,その女優は、その映画で下手な芝居をした自分を責めた。,"●blame A for B 「BのことでAを非難する/BをAの責任にする」 [cite: 3472-3477, 3524, 3498]",0,2.5,
442,164,The train driver has been accused ( ) causing death and bodily injury through professional negligence.,by,for,in,of,4,その列車の運転手は業務上過失致死傷の罪に問われている。,"●accuse A of B[doing]「B(犯罪・悪徳など)の [･･･したという] 理由でAを訴える」 accuse は blame と似た意味の動詞だが、accuse A of Bの形で用いられる。本間は受動態の A is accused of doing「Aは･･･したという理由で訴えられる」を用いている。 [cite: 3479-3480, 3492, 3525, 3531]",0,2.5,
443,164,Please excuse me ( ) being late. I was caught in heavy traffic.,for,from,in,with,1,遅れて申し訳ありません。渋滞にあいました。,"●excuse A for B 「B (不注意・遅刻など) についてAを許す」 [cite: 3501-3503, 3526, 3534]",0,2.5,
444,165,The man ( ) the situation as serious.,thought,regarded,looked,told,2,その男は状況が深刻だと思った。,"●regard A as B 「AをBとみなす」 S regard A as Bは、意味的に「A=B (AはBである)」の関係になる。本間は意味的に the situation = serious 「状況は深刻である」という関係が成立する。選択肢③は looked on [upon] なら正解になる。 [cite: 3514-3517, 3513, 3538, 3539]",0,2.5,
445,166,This train will ( ) you to the airport.,accompany,overtake,terminate,take,4,この列車に乗れば空港まで行けます。,"●take A to B 「(乗りもの・道が)AをBに連れて行く」 [cite: 3558-3560, 3596, 3571]",0,2.5,
446,166,About ten minutes' walk ( ) me to the post office.,left,brought,reached,arrived,2,10分ほど歩くと郵便局についた。,"●bring A to B 「(乗りもの・道が)AをBに連れて来る[行く]」 [cite: 3562, 3566-3567, 3599, 3544]",0,2.5,
447,167,How do I like you in that uniform? You look great. It really ( ) you!,winks,suits,looks,gets,2,「そのユニフォームを着た私をどう思うかって？素敵だよ、すごく君に似合ってる」,"●suit A「(服装・色などが)A(人)に似合う/(食べもの・気候などが)A(人)に適する」 [cite: 3583-3591, 3598, 3600, 3609]",0,2.5,
448,167,Which dressing goes with this kind of salad?,matches,spoils,decays,destroys,1,この種類のサラダにはどちらのドレッシングが合いますか。,"●go with A 「(ものが) A (もの)に調和する/つり合う」 (= match A) 「go with と match は主語と目的語の両方に「もの」が来ることに注意。 [cite: 3593-3594, 3601, 3579, 3604]",0,2.5,
449,168,I ( ) money from my friend last week.,rented,lent,borrowed,sent,3,私は先週友人からお金を借りた。,"●borrow A (from B) 「(Bから)A(お金・もの)を(無料で)借りる」 選択肢 ① rent A「A(家・土地など)を有料で貸す/有料で借りる」。③ lend B to A 「A (人)にB(お金・もの)を貸す」 [cite: 3622, 3637, 3646]",0,2.5,
450,168,"My friend ( ) me some money, which I paid back later on.",lost,borrowed,lent,presented,3,友人がいくらかお金を貸してくれたが、私は後で返金した。,"●lend A B 「A(人)にB(お金・もの)を貸す」(= lend B to A) ▶空所のあとのme some money に注目。目的語を2つとるのはlendだけ。 [cite: 3624-3626, 3638, 3650, 3651]",0,2.5,
451,169,ひょっとして、ビルがお金を盗ったんじゃないか。,I doubt Bill robbed the money.,I doubt Bill stole the money.,I suspect Bill stole the money.,I suspect Bill robbed the money.,3,ひょっとして、ビルがお金を盗ったんじゃないか。,"●suspect (that) SV 「(どうも)･･･らしいと思う」 doubt (that) SV = don't think (that) SVと、 suspect (that) SV = think (that) SV であることを確認しよう。▶選択肢①、④の rob の語法は誤っているので(rob A of B)、②と③を検討すればよい。that 節の内容はどちらも「ビルがお金を盗んだ」という意味。suspect 「･･･だと思う」が正しい文意を完成させる。 [cite: 3634-3636, 3662-3665]",0,2.5,
452,173,Paul suggested ( ) a party for Vicky when she came back home.,having,to have,being having,to be having,1,ヴィッキーが帰宅したら彼女のためにパーティーを開こうとポールは提案した。,"●suggest doing 「･･･することを提案する」 ▶ suggest は動名詞を目的語にとる。 [cite: 3677-3681, 3742, 3711, 3712]",0,2.5,
453,173,My teacher suggested ( ) go to see a doctor alone.,her to,her that she,to her,to her that she,4,私の先生は彼女に一人で医者に診てもらうように提案した。,"●suggest to A that S (should) do 「Aに･･･することを提案する」 suggestは、提案する内容をthat節で表して suggest (that) S (should) do という形をとる。さらに、提案する相手を to Aで表し、suggest to A that S (should) do とすることができる。that 節中の動詞は should do とするか、原形のdoとなることに注意。▶主節が過去時制の suggested でも that 節内は原形のgoを用いていることに注意。 [cite: 3696-3698, 3744, 3713, 3714]",0,2.5,
454,174,Will you ( ) me that we have an appointment tomorrow afternoon?,recall,regret,remember,remind,4,明日の午後に約束があることを(私が忘れていたら)注意していただけますか。,"●remind A that SV 「Aに･･･ということを気づかせる/思い出させる」 remind A that SV と remind A to doは、「Aがやらなければならないことを忘れていたら注意する」という意味。 [cite: 3702-3703, 3745, 3733]",0,2.5,
455,171,Everyone ( ) that she manages to finish on time.,hopes,wishes,wonders,helps,1,彼女がなんとか時間通りに終えることを全員が望んでいる。,"●hope (that) SV 「･･･であることを望む/願う」 選択肢②の wish に続く that節では仮定法が用いられる。③の wonder は、wonder (that) SVで「･･･に驚く/･･･とは不思議だ」という意味になり不自然。④の help は (x) help that SV という使い方はできない。 [cite: 3760-3761, 3813, 3797, 3798]",0,2.5,
456,175,They all ( ) their host mothers' help and support.,appreciated,obliged,thanked,expressed,1,彼らは全員、それぞれのホームステイ先のお母さんたちからの助けと支援に感謝した。,"●appreciate A 「A (もの・事)をありがたく思う/感謝する」 appreciate と thankはどちらも「感謝する」という意味だが、appreciate の目的語は「もの・事」で、thankの目的語は「人」という違いがある。▶本間は They all thanked their host mothers for their help and support.と書きかえることができる。 [cite: 3826-3831, 3886, 3827, 3841]",0,2.5,
457,176,I'd rather ( ) a map than tell someone how to get there.,draw,paint,strike,write,1,私はそこへの行き方を相手に口で教えるよりは、むしろ地図を描きます。,"●draw A 「(ペンなどで線をひき) A (図形・地図など)を描く」 draw Aは、draw a line 「線を引く」、draw a picture 「絵を描く」のように使う。 [cite: 3836, 3851-3852, 3887, 3846, 3847]",0,2.5,
458,176,Do you mind ( ) the window?,if I open,if you open,to open,your opening,1,私が窓を開けてもいいですか。,"●Would [Do] you mind if I do...? 「私が･･･してもいいですか」という意味の許可を求める表現。Would [Do] you mind my [me] doing? と同意。▶本間は Do you mind my[me] opening the window? と表すこともできる。 [cite: 3854-3859, 3887, 3870, 3889]",0,2.5,
459,176,"After a cup of coffee, I ( ) what his message really meant.",became to realize,came realizing,became realizing,came to realize,4,コーヒーを1杯飲んだあと、私には彼のメッセージの真意がわかってきた。,"●come to do 「･･･するようになる」 come to do 「･･･するようになる」のdoには、通例 know, believe, feel, think, like, realize などの状態を表す動詞が来る。get to do も同意。▶選択肢①と③の becomeは、become Cで「(変化して)Cの状態になる」という意味。補語のCには形容詞・名詞・分詞などが来る。(×) become to do という言い方はできない。 [cite: 3880-3884, 3888, 3897-3900]",0,2.5,
460,199,We enjoyed ( ) at the party last week.,our,ourselves,really,us,2,私たちは先週のパーティーで楽しんだ。,"●enjoy oneself 「楽しむ」 We enjoyed ourselves のように、主語と同一の人・ものを表す再帰代名詞を他動詞の目的語に用いる用法がある。▶ enjoy には再帰代名詞を目的語にとって、「楽しむ」という意味になる用法がある。本問は主語の weと同一の目的語なので②ourselves が正解。●プラス 他動詞の目的語に再帰代名詞を用いて、自動詞的な意味になる動詞には次のようなものがある。enjoy oneself 「楽しむ」、hide oneself 「隠れる」、dress oneself 「服を着る」、seat oneself 「座る」。 [cite: 2518, 2521-2523, 2536, 2556-2558]",0,2.5,
